"bill_id","govtrack_id","sponsor_title"
sconres67-93,404343,Sen
s585-110,300037,Sen
sconres104-94,401391,Sen
s1288-114,400418,Sen.
s219-105,300031,Sen
hres29-93,400680,Rep
s2510-106,300071,Sen
hr3618-104,400350,Rep
sres74-110,300091,Sen
hr14592-93,405303,Rep
hr8368-116,412541,Rep
s3995-93,405969,Sen
hconres73-108,400333,Rep
sres350-108,300045,Sen
hr6689-115,400316,Rep
hr15978-93,401274,Rep
s281-103,300071,Sen
hres492-117,412702,Rep.
hr3813-112,412411,Rep
hr3215-93,400680,Rep
hconres297-108,400333,Rep
s1604-101,401709,Sen
hr5676-95,401273,Rep
s86-115,300071,Sen
hr5267-93,400680,Rep
hr3455-108,400022,Rep
s893-104,300085,Sen
hr3362-94,411479,Rep
hr2689-105,400322,Rep
hr9962-95,402160,Rep
hr4937-111,412254,Rep
s2397-114,300082,Sen.
hr2732-104,400504,Rep
s3056-101,300048,Sen
hr2087-117,412472,Rep.
hres785-115,400655,Rep
s3098-106,300037,Sen
s1687-111,412320,Sen
s1108-107,300091,Sen
hr4781-105,400507,Rep
hr3595-103,300085,Rep
s10-110,300082,Sen
sjres50-107,300071,Sen
sres2-111,300082,Sen
hr1329-106,400191,Rep
hr477-103,400333,Rep
s2597-102,300071,Sen
hconres754-95,401819,Rep
s1504-107,300037,Sen
hjres19-106,400504,Rep
hr8108-116,412798,Rep
hr2426-106,400082,Rep
hres492-110,412195,Rep
hr5272-95,410969,Rep
hr3510-94,411025,Rep
sres9-108,300045,Sen
s502-105,300048,Sen
s1077-93,405969,Sen
hr3989-113,412411,Rep
hr2420-115,412641,Rep
s1087-105,300057,Sen
hr1723-108,400002,Rep
s2055-97,405252,Sen
hres754-112,400316,Rep
hr4634-110,400158,Rep
hr1815-116,412775,Rep
hr4661-110,412240,Rep
s1642-104,300037,Sen
hr1894-108,400333,Rep
hconres129-108,400418,Rep
s4-102,401391,Sen
hr3163-106,400374,Rep
hres1441-95,404297,Rep
hr14348-94,402160,Rep
s2865-110,300091,Sen
sjres50-102,401709,Sen
hr2290-100,411025,Rep
hr5319-112,412254,Rep
s1460-115,300075,Sen
hr5305-112,400647,Rep
hr12590-94,404297,Rep
sres237-116,300048,Sen
hr3205-99,300091,Rep
hr1067-97,405496,Rep
sres336-109,300085,Sen
hr1776-106,400594,Rep
hr4507-114,412521,Rep.
hr12665-95,300057,Rep
hr14842-94,401540,Rep
hr3627-102,405855,Rep
hr3002-113,412541,Rep
hr8445-94,410186,Rep
hr408-109,400322,Rep
hr762-106,400511,Rep
sres193-109,300045,Sen
hres413-103,400043,Rep
hres417-115,412411,Rep
hres537-95,408065,Rep
sres680-110,300082,Sen
hr1771-106,400121,Rep
hr4782-114,412630,Rep.
s1096-112,300091,Sen
hr664-102,400226,Rep
sres367-109,300085,Sen
hres54-96,400374,Rep
s1849-114,300075,Sen.
s2326-100,300071,Sen
s105-106,300091,Sen
hr5240-94,403260,Rep
hres848-111,400158,Rep
hr931-110,400082,Rep
s1527-115,300071,Sen
s1851-113,300071,Sen
hr3039-105,400504,Rep
hr4626-93,404365,Rep
hr5139-99,406740,Rep
s490-115,412549,Sen
hr5039-115,412702,Rep
hr48-108,400083,Rep
s526-103,401709,Sen
hr12654-94,408065,Rep
hr199-104,400382,Rep
hr4350-95,405646,Rep
sres285-110,300075,Sen
s1726-106,300071,Sen
sres43-109,300082,Sen
s1756-107,300057,Sen
s332-114,300048,Sen.
s121-112,400418,Sen
hr800-101,406740,Rep
s574-112,300071,Sen
s2264-107,300085,Sen
s2071-109,300091,Sen
s1244-104,300057,Sen
s2992-95,401391,Sen
hr14444-94,401274,Rep
hr2845-98,411025,Rep
hr5394-117,412427,Rep.
s681-93,406918,Sen
hr5085-117,400291,Rep.
s221-110,300048,Sen
hr540-102,300037,Rep
hr1649-110,400443,Rep
s3823-93,406918,Sen
sres401-96,410894,Sen
s3235-106,300071,Sen
s2472-102,300071,Sen
sres131-107,300031,Sen
hr3116-116,412713,Rep
hr5082-117,412695,Rep.
hr682-105,400226,Rep
hr4639-103,300091,Rep
s852-102,300031,Sen
s3621-109,300082,Sen
hr6630-93,404297,Rep
hr1412-112,400400,Rep
sres525-114,300075,Sen.
s1270-97,401391,Sen
hr1684-104,400571,Rep
s3447-109,300082,Sen
s2583-102,300071,Sen
sres456-110,300091,Sen
hr9616-95,401819,Rep
s596-95,401391,Sen
hres77-99,400333,Rep
s2267-107,300048,Sen
hr1805-117,412775,Rep.
sres102-107,300031,Sen
hr1479-117,412541,Rep.
hr3809-107,400271,Rep
s2996-107,300061,Sen
hr1019-115,412729,Rep
hr1887-97,401274,Rep
hr2862-112,400271,Rep
s1420-94,401391,Sen
hr8077-93,404365,Rep
hr13681-94,400680,Rep
hr6035-115,412712,Rep
s501-102,300061,Sen
hr145-116,412472,Rep
s2633-98,401709,Sen
s4103-93,404343,Sen
hr16982-93,404297,Rep
sres16-104,300031,Sen
hr4823-115,400655,Rep
hjres112-105,400226,Rep
sres260-100,406188,Sen
hr3838-98,400333,Rep
hr4766-96,407485,Rep
hres466-95,411479,Rep
sres194-109,300045,Sen
hr6384-109,400043,Rep
s282-108,300091,Sen
hr12446-95,404297,Rep
s3174-101,401391,Sen
hr2700-110,412219,Rep
s59-114,400418,Sen.
hjres47-108,400333,Rep
s933-107,300057,Sen
hr7785-96,405855,Rep
hr528-103,400291,Rep
hr6169-116,412773,Rep
hr13002-95,402160,Rep
